obs # ,,video,camera,year,month,day,start time,time,focal bat,bat infected,behavior (letter),comment,
1 to x,scorer,file path on hard drive,"channel number (e.g. ""2"" for CH02)",year of video,month of video,day of video,AKA focal hour,00:30-60:00 (s),Bat ID (see bat key),T/F,see behavior key in project plan key,e.g don't know if self or social grooming,
41,Michael A,CH02_2019-07-15_19_20_28__19_28_50.mp4,2,2019,07,15,19,2030,blx,T,r,,
42,Michael A,CH02_2019-07-15_19_20_28__19_28_50.mp4,2,2019,07,15,19,2100,blx,T,m,,
43,Michael A,CH02_2019-07-15_19_20_28__19_28_50.mp4,2,2019,07,15,19,2130,blx,T,g,,
44,Michael A,CH02_2019-07-15_19_20_28__19_28_50.mp4,2,2019,07,15,19,2200,blx,T,g,,
45,Michael A,CH02_2019-07-15_19_20_28__19_28_50.mp4,2,2019,07,15,19,2230,blx,T,g,,
46,Michael A,CH02_2019-07-15_19_20_28__19_28_50.mp4,2,2019,07,15,19,2300,blx,T,m,someone in cage,
47,Michael A,CH02_2019-07-15_19_20_28__19_28_50.mp4,2,2019,07,15,19,2330,blx,T,m,,
48,Michael A,CH02_2019-07-15_19_20_28__19_28_50.mp4,2,2019,07,15,19,2400,blx,T,m,,
49,Michael A,CH02_2019-07-15_19_20_28__19_28_50.mp4,2,2019,07,15,19,2430,blx,T,m,,
50,Michael A,CH02_2019-07-15_19_20_28__19_28_50.mp4,2,2019,07,15,19,2500,blx,T,m,,
51,Michael A,CH02_2019-07-15_19_20_28__19_28_50.mp4,2,2019,07,15,19,2530,blx,T,m,,
52,Michael A,CH02_2019-07-15_19_20_28__19_28_50.mp4,2,2019,07,15,19,2600,blx,T,m,,
53,Michael A,CH02_2019-07-15_19_20_28__19_28_50.mp4,2,2019,07,15,19,2630,blx,T,m,,
54,Michael A,CH02_2019-07-15_19_20_28__19_28_50.mp4,2,2019,07,15,19,2700,blx,T,m,,
55,Michael A,CH02_2019-07-15_19_20_28__19_28_50.mp4,2,2019,07,15,19,2730,blx,T,r,,
56,Michael A,CH02_2019-07-15_19_20_28__19_28_50.mp4,2,2019,07,15,19,2800,blx,T,r,,
57,Michael A,CH02_2019-07-15_19_20_28__19_28_50.mp4,2,2019,07,15,19,2830,blx,T,r,,
58,Michael A,CH02_2019-07-15_19_28_50__19_37_12.mp4,2,2019,07,15,19,2900,blx,T,r,,
59,Michael A,CH02_2019-07-15_19_28_50__19_37_12.mp4,2,2019,07,15,19,2930,blx,T,r,,
60,Michael A,CH02_2019-07-15_19_28_50__19_37_12.mp4,2,2019,07,15,19,3000,blx,T,r,,
61,Michael A,CH02_2019-07-15_19_28_50__19_37_12.mp4,2,2019,07,15,19,3030,blx,T,r,,
62,Michael A,CH02_2019-07-15_19_28_50__19_37_12.mp4,2,2019,07,15,19,3100,blx,T,r,,
63,Michael A,CH02_2019-07-15_19_28_50__19_37_12.mp4,2,2019,07,15,19,3130,blx,T,r,,
64,Michael A,CH02_2019-07-15_19_28_50__19_37_12.mp4,2,2019,07,15,19,3200,blx,T,r,,
65,Michael A,CH02_2019-07-15_19_28_50__19_37_12.mp4,2,2019,07,15,19,3230,blx,T,r,,
66,Michael A,CH02_2019-07-15_19_28_50__19_37_12.mp4,2,2019,07,15,19,3300,blx,T,r,,
67,Michael A,CH02_2019-07-15_19_28_50__19_37_12.mp4,2,2019,07,15,19,3330,blx,T,g,,
68,Michael A,CH02_2019-07-15_19_28_50__19_37_12.mp4,2,2019,07,15,19,3400,blx,T,r,,
69,Michael A,CH02_2019-07-15_19_28_50__19_37_12.mp4,2,2019,07,15,19,3430,blx,T,m,,
70,Michael A,CH02_2019-07-15_19_28_50__19_37_12.mp4,2,2019,07,15,19,3500,blx,T,r,,
71,Michael A,CH02_2019-07-15_19_28_50__19_37_12.mp4,2,2019,07,15,19,3530,blx,T,r,,
72,Michael A,CH02_2019-07-15_19_28_50__19_37_12.mp4,2,2019,07,15,19,3600,blx,T,r,,
73,Michael A,CH02_2019-07-15_19_28_50__19_37_12.mp4,2,2019,07,15,19,3630,blx,T,r,,
74,Michael A,CH02_2019-07-15_19_28_50__19_37_12.mp4,2,2019,07,15,19,3700,blx,T,m,,
75,Michael A,CH02_2019-07-15_19_37_12__19_45_35.mp4,2,2019,07,15,19,3730,blx,T,m,,
76,Michael A,CH02_2019-07-15_19_37_12__19_45_35.mp4,2,2019,07,15,19,3800,blx,T,g,,
77,Michael A,CH02_2019-07-15_19_37_12__19_45_35.mp4,2,2019,07,15,19,3830,blx,T,g,,
78,Michael A,CH02_2019-07-15_19_37_12__19_45_35.mp4,2,2019,07,15,19,3900,blx,T,m,,
79,Michael A,CH02_2019-07-15_19_37_12__19_45_35.mp4,2,2019,07,15,19,3930,blx,T,r,,
80,Michael A,CH02_2019-07-15_19_37_12__19_45_35.mp4,2,2019,07,15,19,4000,blx,T,r,,
81,Michael A,CH02_2019-07-15_19_37_12__19_45_35.mp4,2,2019,07,15,19,4030,blx,T,g,,
